"Chr","Start","End","Conc","Conc_colon","Conc_liver","Fold","p-value","FDR"
"chr11",10328991,10329829,5.58,5.06,5.96,-0.9,0.489,1
"chrX",118616500,118617055,3.62,3.11,4,-0.88,0.489,1
"chr7",116164516,116165165,5.23,4.7,5.61,-0.91,0.489,1
"chr5",49471484,49472495,1.58,2.02,0.95,1.07,0.489,1
"chr10",18947977,18949240,5.92,5.38,6.31,-0.93,0.489,1
"chr6",116380781,116382313,5.48,4.96,5.87,-0.91,0.489,1
"chr6",1630886,1631773,4.42,3.91,4.8,-0.89,0.489,1
"chr8",53435975,53436380,2.76,1.69,3.37,-1.67,0.489,1
"chr3",53288798,53290317,5.86,5.36,6.23,-0.88,0.489,1
"chr4",169495687,169496678,4.46,3.96,4.82,-0.87,0.489,1
"chr4",183727445,183727949,4.55,4.05,4.92,-0.87,0.489,1
"chr3",52462578,52462990,2.67,2.14,3.06,-0.93,0.489,1
"chr4",85180423,85180751,2.67,2.14,3.06,-0.93,0.489,1
"chr5",32193763,32194217,3.2,2.71,3.56,-0.85,0.489,1
"chr12",32907970,32909460,6.25,5.69,6.65,-0.96,0.489,1
"chr19",32836235,32837290,4.9,4.41,5.27,-0.85,0.489,1
"chr7",24796448,24797445,4.86,4.38,5.22,-0.85,0.489,1
"chr1",181220092,181221033,3.86,3.34,4.25,-0.91,0.489,1
"chr4",8268865,8269341,3.44,2.89,3.83,-0.94,0.489,1
"chr9",77702699,77703717,6.96,6.43,7.34,-0.91,0.489,1
"chr3",30647367,30648548,6.06,5.51,6.46,-0.94,0.489,1
"chr3",59560919,59561490,3.85,3.32,4.24,-0.92,0.489,1
"chr7",12663482,12664024,2.99,2.48,3.37,-0.9,0.489,1
"chr16",87096215,87096693,3.38,2.91,3.73,-0.82,0.489,1
"chr14",34318264,34318831,4.72,4.18,5.11,-0.93,0.489,1
"chr3",111567141,111567498,2.29,1.66,2.73,-1.07,0.49,1
"chr8",95271123,95271650,5.14,4.64,5.5,-0.86,0.49,1
"chr11",102651039,102651536,3.61,3.09,3.99,-0.9,0.49,1
"chr19",56764137,56765337,3.9,3.42,4.26,-0.84,0.49,1
"chr13",78081993,78082576,3.65,3.14,4.03,-0.89,0.49,1
"chr2",171626748,171627954,5.96,5.47,6.33,-0.87,0.49,1
"chr2",163077515,163077911,2.98,2.42,3.38,-0.96,0.49,1
"chr8",67925726,67926114,3.33,2.77,3.73,-0.96,0.49,1
"chr7",48124548,48124880,4.05,3.49,4.45,-0.96,0.49,1
"chr11",35843261,35844036,4.78,4.27,5.15,-0.89,0.49,1
"chr21",37513796,37514319,4.54,4.05,4.9,-0.85,0.49,1
"chr13",75793796,75794301,3.99,3.46,4.38,-0.92,0.49,1
"chr11",57117254,57117640,3.59,3.13,3.94,-0.81,0.49,1
"chr3",142166143,142167130,5.25,4.75,5.63,-0.88,0.49,1
"chr15",34207815,34208413,3.57,3.08,3.93,-0.85,0.49,1
"chr12",103272858,103273343,4.42,3.89,4.8,-0.91,0.49,1
"chr2",58781010,58781460,2.32,1.66,2.77,-1.11,0.49,1
"chr8",127888829,127889310,4.4,3.88,4.78,-0.9,0.49,1
"chr12",125346063,125346370,3.39,2.86,3.77,-0.91,0.49,1
"chr2",132285133,132285882,4,3.44,4.41,-0.97,0.49,1
"chr4",154125326,154127292,6.3,5.77,6.69,-0.91,0.49,1
"chr2",143746833,143747227,2.92,2.35,3.33,-0.98,0.49,1
"chr7",127031892,127033215,6.33,5.8,6.72,-0.92,0.49,1
"chr1",42335764,42336228,3.62,3.14,3.99,-0.85,0.49,1
"chr12",55095949,55096409,2.74,2.18,3.15,-0.97,0.49,1
"chr1",111436516,111437023,3.2,2.61,3.62,-1.01,0.49,1
"chr2",218764211,218764720,3.88,3.37,4.26,-0.89,0.49,1
"chr7",95237941,95238543,4.14,3.6,4.53,-0.93,0.49,1
"chr10",43724680,43725533,5.32,4.81,5.7,-0.89,0.49,1
"chr1",206164842,206165191,1.43,0.66,1.93,-1.27,0.49,1
"chr3",161067490,161068165,4.61,4.1,4.98,-0.89,0.49,1
"chr1",78443823,78445626,6.33,5.81,6.72,-0.91,0.49,1
"chr10",13819973,13820465,3.14,2.64,3.51,-0.87,0.49,1
"chr6",45898175,45898600,3.14,2.64,3.51,-0.87,0.49,1
"chr2",739870,741058,6.95,6.4,7.34,-0.94,0.49,1
"chr13",63280126,63280607,2.64,2.02,3.08,-1.06,0.49,1
"chr7",154467827,154468475,2.99,2.44,3.38,-0.94,0.49,1
"chr2",197504055,197504918,5.77,5.23,6.16,-0.93,0.49,1
"chr13",110658562,110659108,4.11,3.61,4.49,-0.87,0.49,1
"chr12",7053138,7054068,5.1,4.62,5.46,-0.84,0.49,1
"chr3",161569716,161570135,3.49,2.96,3.88,-0.92,0.49,1
"chr3",158512726,158513117,2.64,2.07,3.04,-0.98,0.49,1
"chr4",52697327,52697616,2.64,2.07,3.04,-0.98,0.49,1
"chr11",189589,190291,3.94,3.5,4.27,-0.77,0.49,1
"chr19",58090011,58090606,4.87,4.33,5.27,-0.93,0.49,1
"chr13",45389782,45390191,3.29,2.8,3.66,-0.86,0.49,1
"chr7",114870896,114871627,4.69,4.18,5.07,-0.89,0.49,1
"chr4",119512550,119513728,5.38,4.89,5.75,-0.86,0.49,1
"chr17",53828091,53829199,6.82,6.29,7.21,-0.92,0.49,1
"chr1",171750259,171751046,6.43,5.86,6.83,-0.97,0.49,1
"chr4",120221349,120222297,6.05,5.51,6.44,-0.93,0.49,1
"chr10",17104104,17105506,4.65,4.15,5.02,-0.87,0.491,1
"chr6",113101742,113102111,2.76,2.22,3.15,-0.92,0.491,1
"chrX",120331311,120331876,4.27,3.75,4.65,-0.9,0.491,1
"chr1",220700777,220702357,5.86,5.33,6.24,-0.91,0.491,1
"chr5",149509233,149509916,4.46,3.95,4.83,-0.88,0.491,1
"chr7",64023031,64023782,5.62,5.08,6.02,-0.94,0.491,1
"chr6",153323254,153324553,6.01,5.47,6.41,-0.93,0.491,1
"chr2",213432266,213432998,3.51,2.94,3.91,-0.97,0.491,1
"chr6",100564422,100564870,3.51,2.94,3.91,-0.97,0.491,1
"chr6",88299466,88300094,5.71,5.16,6.1,-0.94,0.491,1
"chr2",25517739,25518420,4.26,3.77,4.62,-0.86,0.491,1
"chr5",131705100,131706009,5.78,5.25,6.17,-0.92,0.491,1
"chr3",61880381,61881383,5.05,4.5,5.44,-0.94,0.491,1
"chr14",59213061,59213304,2.61,2.02,3.02,-1,0.491,1
"chr5",102593982,102595507,6.81,6.3,7.19,-0.9,0.491,1
"chr9",20291996,20292562,3.59,3.1,3.95,-0.84,0.491,1
"chr22",36981875,36982271,2.81,2.31,3.19,-0.88,0.491,1
"chr3",98450979,98452874,6.38,5.86,6.76,-0.9,0.491,1
"chr2",6966614,6966971,3.06,2.55,3.44,-0.89,0.491,1
"chr2",221551971,221552384,3.06,2.55,3.44,-0.89,0.491,1
"chr10",71661445,71661846,3,2.49,3.37,-0.88,0.491,1
"chr1",181438928,181439336,2.39,2.78,1.86,0.92,0.491,1
"chr4",170232753,170233234,3.59,3.09,3.96,-0.87,0.491,1
"chr12",72125688,72126114,3.29,2.78,3.66,-0.88,0.491,1
"chr4",187111927,187113490,6.65,6.1,7.04,-0.94,0.491,1
"chr3",58153005,58153310,2.9,2.37,3.28,-0.92,0.491,1
"chr17",41919622,41920290,4.63,4.13,5,-0.88,0.491,1
"chr6",167120536,167120978,3.31,2.77,3.71,-0.94,0.491,1
"chr6",18155083,18156590,6.77,6.23,7.16,-0.93,0.491,1
"chr3",128661242,128662129,3.14,2.68,3.49,-0.81,0.491,1
"chr1",231663597,231664797,5.58,5.08,5.94,-0.86,0.491,1
"chr4",71397640,71398031,2.87,2.27,3.29,-1.03,0.491,1
"chr7",40173786,40174793,5.85,5.34,6.22,-0.88,0.491,1
"chr9",113017738,113019370,6.33,5.8,6.72,-0.92,0.491,1
"chr1",61709789,61710219,3.02,2.53,3.39,-0.86,0.491,1
"chr12",26266903,26267704,5.18,4.68,5.54,-0.86,0.491,1
"chr11",16626075,16629336,6.2,5.7,6.57,-0.87,0.491,1
"chr3",165360556,165361602,4.74,4.25,5.1,-0.86,0.491,1
"chr3",17882669,17883113,3.83,3.32,4.21,-0.89,0.491,1
"chr2",233230287,233230629,3,2.46,3.4,-0.94,0.491,1
"chr4",119199465,119200287,5.65,5.14,6.02,-0.88,0.491,1
"chr7",17501478,17502149,2.85,2.35,3.23,-0.88,0.491,1
"chr11",27493382,27494917,6.14,5.61,6.53,-0.92,0.491,1
"chr4",188301230,188301675,3.35,2.85,3.72,-0.87,0.491,1
"chr7",2143917,2144281,3.71,3.25,4.07,-0.82,0.491,1
"chr2",224951081,224951721,3.24,2.71,3.63,-0.92,0.491,1
"chr12",29580943,29581938,3.77,3.26,4.14,-0.89,0.491,1
"chr5",34923942,34924479,3.98,3.46,4.36,-0.9,0.491,1
"chr7",116270925,116271462,3.98,3.46,4.36,-0.9,0.491,1
"chr7",55153861,55154722,5.07,4.55,5.46,-0.91,0.491,1
"chr9",87827160,87828231,4.88,4.37,5.26,-0.89,0.491,1
"chr3",8671006,8671614,5.19,4.66,5.57,-0.91,0.491,1
"chr20",43150143,43151140,5.05,4.55,5.42,-0.87,0.491,1
"chr3",188012612,188013255,4.73,4.21,5.12,-0.91,0.491,1
"chr2",84304660,84305082,2.96,2.42,3.36,-0.93,0.491,1
"chrX",28525086,28525987,2.96,2.42,3.36,-0.93,0.491,1
"chr12",68978002,68978982,3.97,3.48,4.33,-0.86,0.492,1
"chr10",97452880,97454163,6.32,5.79,6.7,-0.91,0.492,1
"chr4",49288414,49289303,1.48,1.94,0.8,1.15,0.492,1
"chr2",192020345,192020668,2.53,1.92,2.95,-1.03,0.492,1
"chr18",5294597,5296966,6.98,6.46,7.36,-0.9,0.492,1
"chr3",177002203,177002707,3.75,3.22,4.13,-0.9,0.492,1
"chr8",104510760,104512233,6.8,6.27,7.19,-0.92,0.492,1
"chr14",77786580,77787951,6.76,6.24,7.15,-0.9,0.492,1
"chr11",320571,321179,3.41,2.96,3.76,-0.8,0.492,1
"chr8",74884019,74885143,7.17,6.65,7.55,-0.9,0.492,1
"chr1",205560928,205561456,4.2,3.72,4.56,-0.84,0.492,1
"chr7",116449702,116450713,3.63,3.1,4.02,-0.91,0.492,1
"chr9",19048771,19049801,5.96,5.43,6.34,-0.91,0.492,1
"chr1",159102244,159102480,2.34,1.78,2.74,-0.96,0.492,1
"chr10",30648551,30649256,4.85,4.38,5.21,-0.84,0.492,1
"chr11",31390651,31391710,5.57,5.03,5.97,-0.93,0.492,1
"chrX",46176612,46176942,2.49,1.92,2.89,-0.97,0.492,1
"chr11",93275187,93276914,6.28,5.75,6.66,-0.91,0.492,1
"chr7",95319670,95320135,3.57,3.06,3.95,-0.9,0.492,1
"chr2",214018431,214018743,3.51,2.96,3.9,-0.95,0.492,1
"chr12",67254768,67255303,2.97,2.44,3.36,-0.92,0.492,1
"chr6",167188547,167189101,3.09,2.6,3.46,-0.86,0.492,1
"chr8",120734228,120734679,3.09,2.6,3.46,-0.86,0.492,1
"chr11",100698924,100699345,3.49,2.94,3.88,-0.94,0.492,1
"chr6",150044984,150045318,2.53,2,2.92,-0.92,0.492,1
"chr2",202645167,202646149,6.03,5.5,6.42,-0.92,0.492,1
"chr3",39249932,39250359,2.82,2.25,3.24,-0.99,0.492,1
"chr3",114494039,114494660,2.82,2.25,3.24,-0.99,0.492,1
"chr5",39624608,39625030,2.82,2.25,3.24,-0.99,0.492,1
"chr10",81106818,81108024,5.69,5.2,6.05,-0.86,0.492,1
"chr10",111643853,111644534,5.22,4.69,5.61,-0.92,0.492,1
"chr1",47190801,47191315,3.48,2.98,3.86,-0.87,0.492,1
"chr12",119458401,119458960,3.48,2.98,3.86,-0.87,0.492,1
"chr7",100143208,100143706,3.48,2.98,3.86,-0.87,0.492,1
"chr4",190642548,190644135,6.89,6.38,7.27,-0.9,0.492,1
"chr4",178362197,178363895,6.53,5.99,6.92,-0.93,0.492,1
"chr22",26756397,26756812,3.34,2.85,3.71,-0.86,0.492,1
"chr9",4740559,4741562,5.78,5.25,6.17,-0.92,0.492,1
"chr3",168864396,168865395,4.28,3.77,4.65,-0.87,0.492,1
"chr10",125047129,125047747,4.3,3.82,4.66,-0.84,0.492,1
"chr15",41099242,41100075,5.4,4.92,5.77,-0.85,0.492,1
"chr7",23373965,23374633,4.03,3.49,4.42,-0.93,0.492,1
"chr2",26234983,26235771,4.58,4.12,4.93,-0.81,0.492,1
"chr6",56507067,56508266,3.51,3.02,3.87,-0.85,0.492,1
"chr5",87976178,87976665,4.26,3.74,4.65,-0.91,0.492,1
"chr13",26795718,26796715,5.84,5.32,6.22,-0.9,0.492,1
"chr12",33048788,33050303,6.28,5.75,6.66,-0.91,0.492,1
"chr20",37262200,37262683,3.34,2.81,3.73,-0.92,0.492,1
"chr10",30811501,30811909,2.71,2.2,3.08,-0.88,0.492,1
"chr11",130259854,130260254,2.71,2.2,3.08,-0.88,0.492,1
"chr12",117140827,117141350,2.71,2.2,3.08,-0.88,0.492,1
"chr13",75946551,75946931,2.71,2.2,3.08,-0.88,0.492,1
"chr20",23609749,23610010,2.71,2.2,3.08,-0.88,0.492,1
"chr15",90233551,90234267,4.86,4.38,5.21,-0.83,0.492,1
"chr6",142795601,142796123,3.74,3.21,4.12,-0.91,0.492,1
"chr12",94135707,94136685,4.82,4.34,5.18,-0.85,0.492,1
"chr2",118943286,118944241,5.31,4.78,5.69,-0.91,0.492,1
"chr12",76848799,76849818,3.84,3.35,4.2,-0.86,0.492,1
"chr4",181585873,181587782,5.47,4.94,5.86,-0.91,0.492,1
"chr1",10815918,10816402,3.13,2.61,3.51,-0.89,0.492,1
"chr17",48929355,48929844,3.64,3.17,4,-0.83,0.492,1
"chr9",139159043,139159525,3.78,3.33,4.12,-0.79,0.492,1
"chr8",57905584,57906826,6.24,5.71,6.62,-0.91,0.492,1
"chrX",49643517,49644419,5.25,4.74,5.63,-0.89,0.493,1
"chr6",161212491,161213333,4.62,4.08,5.01,-0.93,0.493,1
"chr7",143042371,143042942,5.02,4.5,5.4,-0.9,0.493,1
"chr1",43473177,43474658,4.88,4.41,5.23,-0.82,0.493,1
"chr8",109299346,109299699,2.79,2.29,3.17,-0.88,0.493,1
"chr10",72123988,72124693,3.76,3.29,4.11,-0.82,0.493,1
"chr2",100900344,100900999,3.76,3.29,4.11,-0.82,0.493,1
"chr11",87063735,87064255,4.43,3.9,4.82,-0.93,0.493,1
"chr11",77348384,77349132,4.69,4.21,5.05,-0.84,0.493,1
"chr6",42896700,42897704,5.94,5.42,6.32,-0.9,0.493,1
"chrX",106871336,106872844,5.29,4.76,5.67,-0.91,0.493,1
"chr11",82996658,82997989,6.91,6.35,7.32,-0.97,0.493,1
"chr11",130903052,130903521,2.79,2.27,3.18,-0.91,0.493,1
"chr14",36347655,36348031,2.72,2.16,3.13,-0.97,0.493,1
"chr7",96407560,96407986,2.72,2.16,3.13,-0.97,0.493,1
"chr10",102193236,102193964,4.32,3.87,4.67,-0.8,0.493,1
"chr10",23814334,23814701,2.58,2.02,2.99,-0.97,0.493,1
"chr3",111686519,111686892,3.44,2.91,3.84,-0.93,0.493,1
"chr11",61100333,61100910,4.96,4.47,5.33,-0.85,0.493,1
"chr2",163200301,163201086,6.18,5.6,6.59,-0.99,0.493,1
"chr1",174128204,174129517,6.5,5.97,6.88,-0.91,0.493,1
"chr4",17387054,17387449,2.69,2.11,3.11,-0.99,0.493,1
"chr2",165697462,165699001,6.69,6.15,7.08,-0.93,0.493,1
"chr1",62587302,62588319,4.62,4.09,5,-0.91,0.493,1
"chr17",38183228,38183696,3.01,2.55,3.35,-0.81,0.493,1
"chr8",133780729,133781169,3.43,2.94,3.79,-0.84,0.493,1
"chr1",33077642,33078201,4.54,4.07,4.89,-0.83,0.493,1
"chr21",34289035,34289291,2.44,1.89,2.84,-0.95,0.493,1
"chr1",171374190,171374581,3.04,2.51,3.42,-0.91,0.493,1
"chr10",17715689,17716081,3.04,2.51,3.42,-0.91,0.493,1
"chr3",36833837,36834706,3.26,2.74,3.65,-0.91,0.493,1
"chr3",155713406,155714009,3.82,3.32,4.19,-0.88,0.493,1
"chr13",45935668,45936351,3.8,3.29,4.17,-0.89,0.493,1
"chr4",144105583,144106789,6.42,5.89,6.81,-0.93,0.493,1
"chr10",124285317,124285725,3.2,2.69,3.57,-0.88,0.493,1
"chr4",169239403,169240093,5.22,4.66,5.62,-0.95,0.493,1
"chr5",83017748,83018562,5.3,4.79,5.67,-0.88,0.493,1
"chr8",81083301,81084115,6.36,5.84,6.74,-0.9,0.493,1
"chr3",115502761,115503768,6.57,6.02,6.96,-0.94,0.493,1
"chr3",102698819,102699478,4.51,4.03,4.88,-0.85,0.493,1
"chr6",74098407,74099176,5.18,4.65,5.57,-0.92,0.493,1
"chr12",118406503,118407455,5.75,5.23,6.13,-0.9,0.493,1
"chr3",25689275,25689970,4.09,3.55,4.48,-0.94,0.493,1
"chr22",36236064,36236806,4.41,3.94,4.77,-0.83,0.493,1
"chr4",146733990,146734362,3.53,3.04,3.9,-0.85,0.493,1
"chr6",46823668,46824043,2.35,1.84,2.72,-0.89,0.493,1
"chr9",4832907,4833531,4.76,4.25,5.13,-0.88,0.493,1
"chr3",52865472,52866184,4.61,4.13,4.97,-0.84,0.493,1
"chr17",45078467,45078872,2.87,2.37,3.24,-0.88,0.493,1
"chr1",214553658,214554218,4.58,4.03,4.99,-0.96,0.493,1
"chr7",51230339,51231009,4.7,4.18,5.08,-0.9,0.494,1
"chr3",149687225,149689520,6.3,5.79,6.68,-0.89,0.494,1
"chr12",48166797,48167590,5.06,4.58,5.42,-0.84,0.494,1
"chr7",86781287,86782404,6.48,5.95,6.87,-0.92,0.494,1
"chr3",139280946,139281382,3.66,3.16,4.03,-0.87,0.494,1
"chr1",110036454,110037114,5.24,4.74,5.62,-0.88,0.494,1
"chr6",74229990,74231558,6.79,6.26,7.17,-0.91,0.494,1
"chr16",84001605,84002053,3.63,3.16,3.99,-0.83,0.494,1
"chr11",102469983,102470971,5.48,4.96,5.87,-0.91,0.494,1
"chr8",104219537,104220631,5.14,4.62,5.53,-0.91,0.494,1
"chr3",5202709,5204179,4.7,4.19,5.07,-0.88,0.494,1
"chr6",142393064,142393445,2.28,1.75,2.67,-0.92,0.494,1
"chr16",72133167,72133550,3.4,2.91,3.77,-0.86,0.494,1
"chr6",132848936,132849545,3.46,2.94,3.84,-0.9,0.494,1
"chr8",80596863,80597293,3.46,2.94,3.84,-0.9,0.494,1
"chr6",166570405,166570780,3.07,2.53,3.47,-0.94,0.494,1
"chr7",129932680,129933093,3.07,2.53,3.47,-0.94,0.494,1
"chr10",82778834,82779216,3.46,2.55,4.01,-1.46,0.494,1
"chr6",37189857,37190698,5.88,5.35,6.26,-0.91,0.494,1
"chr12",16500172,16501408,5.42,4.91,5.8,-0.89,0.494,1
"chr10",124713318,124714078,5.92,5.42,6.29,-0.88,0.494,1
"chr16",25236496,25237084,3.92,3.39,4.3,-0.9,0.494,1
"chr14",57533663,57533974,2.29,1.69,2.71,-1.02,0.494,1
"chr4",47124657,47124969,2.29,1.69,2.71,-1.02,0.494,1
"chr2",62132500,62133229,4.49,4.01,4.85,-0.84,0.494,1
"chr20",39489084,39489724,3.77,3.28,4.14,-0.86,0.494,1
"chr3",97540484,97541552,6.1,5.54,6.5,-0.96,0.494,1
"chr8",23716757,23717269,2.87,2.35,3.26,-0.91,0.494,1
"chr2",242529812,242530438,1.48,1.94,0.8,1.15,0.494,1
"chr1",196796958,196797420,2.31,1.75,2.71,-0.96,0.494,1
"chr6",91985980,91986406,2.31,1.75,2.71,-0.96,0.494,1
"chr12",9066691,9067778,5.17,4.63,5.56,-0.93,0.494,1
"chr3",47462540,47462895,3.22,2.72,3.58,-0.86,0.494,1
"chr3",5059548,5060092,4.21,3.67,4.61,-0.94,0.494,1
"chr16",66864378,66865084,4.96,4.47,5.32,-0.84,0.494,1
"chr3",27799572,27800045,2.91,2.38,3.3,-0.92,0.494,1
"chr6",103720963,103721320,2.91,2.38,3.3,-0.92,0.494,1
"chr4",95428727,95429158,2.43,1.78,2.87,-1.09,0.494,1
"chr7",48339122,48339528,2.43,1.78,2.87,-1.09,0.494,1
"chr3",53079113,53080400,5.04,4.6,5.37,-0.77,0.494,1
"chrX",129254794,129255282,3.79,3.31,4.15,-0.84,0.494,1
"chr9",12814156,12814833,4.87,4.32,5.26,-0.94,0.494,1
"chr18",20046033,20046663,3.39,2.86,3.78,-0.92,0.494,1
"chr19",41641423,41641996,2.19,2.61,1.58,1.04,0.494,1
"chr19",43714897,43715263,2.63,2.02,3.05,-1.04,0.494,1
"chr1",211431682,211434310,7.14,6.64,7.5,-0.86,0.494,1
"chr2",64245906,64246977,5.41,4.93,5.77,-0.84,0.494,1
"chr11",47939351,47939895,4.58,4.07,4.95,-0.88,0.494,1
"chr4",41936891,41937856,5.39,4.86,5.78,-0.92,0.494,1
"chr10",52270911,52271931,3.55,3.03,3.93,-0.9,0.494,1
"chr13",46407792,46408192,3.1,2.56,3.5,-0.93,0.494,1
"chr16",48997468,48998678,4.73,4.25,5.09,-0.84,0.494,1
"chr2",130938840,130940478,6.56,6.06,6.94,-0.88,0.494,1
"chr6",26327781,26329074,4.5,4.03,4.85,-0.82,0.494,1
"chr4",140003997,140005765,6.54,6.02,6.92,-0.9,0.494,1
"chr14",24898895,24899667,5.69,5.18,6.06,-0.88,0.494,1
"chr3",120135989,120136645,5.16,4.62,5.55,-0.93,0.495,1
"chr1",234321757,234322308,4.39,3.86,4.78,-0.92,0.495,1
"chr8",53853709,53854687,5.61,5.08,6,-0.92,0.495,1
"chr2",3383266,3383968,5.81,5.28,6.2,-0.92,0.495,1
"chr3",168338648,168339114,2.98,1.99,3.56,-1.57,0.495,1
"chr14",51240452,51240805,2.54,1.99,2.94,-0.94,0.495,1
"chr17",164417,165637,2.85,3.24,2.33,0.91,0.495,1
"chr8",56972604,56973094,3,2.48,3.39,-0.91,0.495,1
"chr2",135809544,135810476,5.28,4.75,5.66,-0.91,0.495,1
"chr11",66405657,66406368,5.18,4.7,5.54,-0.85,0.495,1
"chr15",33570998,33572161,4.62,4.11,5,-0.89,0.495,1
"chr15",35000370,35000981,2.83,2.33,3.2,-0.87,0.495,1
"chr3",157290284,157290753,2.83,2.33,3.2,-0.87,0.495,1
"chr5",92629942,92630457,2.83,2.33,3.2,-0.87,0.495,1
"chr3",183415328,183415985,4.74,4.25,5.1,-0.86,0.495,1
"chr9",88356256,88357338,6.21,5.7,6.58,-0.87,0.495,1
"chr9",21392223,21392675,3.98,3.45,4.37,-0.92,0.495,1
"chrX",74408117,74408912,4,3.14,4.54,-1.4,0.495,1
"chr13",109380666,109381182,4.3,3.39,4.85,-1.46,0.495,1
"chr5",38845121,38846577,5.92,5.39,6.3,-0.9,0.495,1
"chr19",53496206,53497360,4.07,3.61,4.41,-0.8,0.495,1
"chr1",169680622,169681551,4.98,4.45,5.37,-0.92,0.495,1
"chr8",117778279,117779347,6.46,5.93,6.85,-0.91,0.495,1
"chr11",62448391,62448653,2.9,2.4,3.27,-0.87,0.495,1
"chr16",66914066,66915072,5.49,5,5.86,-0.86,0.495,1
"chr10",88013170,88014734,5.64,5.13,6.02,-0.89,0.495,1
"chr6",161860077,161860518,3.86,3.36,4.23,-0.88,0.495,1
"chr8",24749050,24749710,3.86,3.36,4.23,-0.88,0.495,1
"chr10",123339290,123340021,3.62,3.16,3.96,-0.8,0.495,1
"chr1",225642059,225642947,4.23,3.74,4.6,-0.86,0.495,1
"chr4",114315887,114316341,3.38,2.86,3.76,-0.9,0.495,1
"chr6",150463674,150464721,5.13,4.64,5.5,-0.85,0.495,1
"chr12",75735487,75735882,2.75,2.25,3.12,-0.87,0.495,1
"chr2",182068148,182068504,2.75,2.25,3.12,-0.87,0.495,1
"chr8",88844289,88844721,3.15,2.68,3.51,-0.84,0.495,1
"chr9",92219698,92221982,5.98,5.48,6.35,-0.87,0.495,1
"chr12",109162398,109162977,4.69,4.18,5.07,-0.9,0.495,1
"chr1",213224324,213225192,5.69,5.17,6.07,-0.9,0.495,1
"chr2",20709718,20710377,4.39,3.84,4.79,-0.94,0.495,1
"chr8",95486894,95487605,5.3,4.77,5.69,-0.92,0.495,1
"chr1",108592117,108592561,3.36,2.8,3.76,-0.97,0.495,1
"chr8",91583237,91583612,2.9,2.33,3.31,-0.99,0.495,1
"chr21",15754970,15756032,6.65,6.1,7.05,-0.95,0.495,1
"chr1",233749343,233751075,6.18,5.69,6.55,-0.86,0.495,1
"chr1",9634731,9635041,0.62,1.18,-0.3,1.49,0.495,1
"chr4",560333,560574,1.86,2.29,1.24,1.05,0.495,1
"chr2",139544548,139545101,3.32,2.8,3.71,-0.91,0.495,1
"chr10",100227014,100227834,5.28,4.8,5.65,-0.85,0.495,1
"chrX",61852890,61853914,1.24,1.72,0.52,1.21,0.495,1
"chr2",113913972,113915559,5.62,5.12,5.98,-0.86,0.495,1
"chr9",27194408,27194859,2.95,2.42,3.33,-0.91,0.495,1
"chr12",32831873,32832861,6.38,5.87,6.76,-0.9,0.495,1
"chr10",81134300,81134659,2.88,2.37,3.26,-0.89,0.495,1
"chr18",61603261,61603814,4.69,4.16,5.07,-0.91,0.495,1
"chr2",81079157,81080221,3.53,3.04,3.89,-0.84,0.496,1
"chr18",61185587,61186031,3.63,3.14,4,-0.86,0.496,1
"chr5",158590232,158590950,3.62,3.11,3.99,-0.88,0.496,1
"chr19",38791294,38791775,5.01,4.53,5.37,-0.84,0.496,1
"chr7",129588739,129589534,4.82,4.29,5.21,-0.92,0.496,1
"chr12",56435103,56436004,5.4,4.92,5.76,-0.84,0.496,1
"chr10",127273568,127274524,3.32,2.85,3.68,-0.83,0.496,1
"chr10",78744521,78744981,3.32,2.82,3.69,-0.87,0.496,1
"chr2",220510556,220510975,3.6,3.11,3.96,-0.85,0.496,1
"chr5",153689386,153689794,2.98,2.48,3.35,-0.87,0.496,1
"chr9",85814196,85814594,2.98,2.48,3.35,-0.87,0.496,1
"chr8",17693936,17694539,3.31,2.81,3.68,-0.88,0.496,1
"chr5",50678682,50679746,5.27,4.76,5.65,-0.89,0.496,1
"chr2",145461476,145461893,2.8,2.29,3.18,-0.89,0.496,1
"chr16",67280023,67281733,6.22,5.74,6.58,-0.84,0.496,1
"chr10",81818544,81819150,2.95,2.44,3.33,-0.89,0.496,1
"chrX",153755385,153755799,2.95,2.44,3.33,-0.89,0.496,1
"chr3",158288641,158289515,5.28,4.77,5.66,-0.9,0.496,1
"chr8",133687409,133688117,5.14,4.63,5.52,-0.89,0.496,1
"chr4",110354476,110355435,6.16,5.64,6.54,-0.9,0.496,1
"chr4",185569952,185571286,5.77,5.23,6.15,-0.92,0.496,1
"chr13",74707989,74709986,6.31,5.79,6.69,-0.89,0.496,1
"chr2",89203263,89203710,3.1,2.56,3.49,-0.93,0.496,1
"chr14",77647600,77648603,6.04,5.51,6.43,-0.91,0.496,1
"chr15",58732385,58734286,4.95,4.48,5.31,-0.83,0.496,1
"chr1",234462352,234462989,3.5,2.96,3.89,-0.93,0.496,1
"chr11",31530909,31531743,5.73,5.2,6.12,-0.92,0.496,1
"chr1",204958388,204958833,3.47,2.98,3.84,-0.85,0.496,1
"chr13",73664416,73665370,4.54,4.06,4.9,-0.84,0.496,1
"chr1",247281838,247282625,3.18,2.71,3.54,-0.83,0.496,1
"chr2",37551339,37552594,4.8,4.35,5.13,-0.78,0.496,1
"chr15",64385394,64386515,5.57,5.07,5.94,-0.87,0.496,1
"chr17",48628235,48628485,3.44,2.97,3.8,-0.83,0.496,1
"chr7",51331231,51331703,3.51,3.01,3.87,-0.87,0.496,1
